10	41	20	18	21	6	20	35	20	37	23	11	18	25	27	21	22	12	14	3	14	20	9	42	30	31	37	18	45	46	126	19	20	17	23	35	53	44	0	44	26	21	6	33	37	4	49	26	44	49	  
13	2	23	14	24	9	23	32	16	39	26	14	21	22	28	24	19	15	17	6	10	23	12	45	27	27	40	21	46	42	126	22	23	13	20	38	56	43	3	0	29	24	9	34	40	7	48	27	45	48	  
54	61	49	57	41	35	51	30	49	52	61	40	43	20	55	47	51	53	49	56	58	42	38	62	25	60	66	67	46	74	126	33	40	46	43	70	70	70	53	64	0	74	46	47	54	53	62	55	45	51	  
22	36	24	30	31	10	41	33	24	27	31	15	8	23	31	15	20	24	27	28	26	7	13	48	28	35	41	30	49	50	126	23	30	21	21	45	45	38	28	39	38	0	26	30	24	16	43	30	48	46	  
26	44	18	26	15	4	35	31	18	43	32	9	24	23	25	36	20	15	26	19	30	23	7	36	28	29	35	21	43	44	126	17	14	15	21	39	57	55	22	42	29	37	0	31	31	7	50	24	42	47	  
17	35	27	25	28	13	44	41	27	45	41	18	28	31	34	43	28	6	21	10	21	27	16	49	36	38	44	25	52	53	126	26	27	24	29	42	60	54	31	42	33	28	13	0	44	11	58	33	51	16	  
22	16	19	27	16	5	26	32	19	33	7	10	32	23	26	27	21	11	26	15	24	31	8	24	20	30	36	30	27	45	126	8	15	16	22	28	46	50	17	43	30	33	18	6	15	16	43	25	26	22	  
19	37	29	27	30	15	46	37	29	36	43	20	17	27	36	45	30	8	23	12	23	16	18	51	32	40	46	14	53	55	126	28	29	26	25	44	54	56	33	46	22	30	15	42	38	0	54	35	52	58	  
26	45	21	29	23	7	38	2	21	52	35	12	34	26	27	19	23	23	30	27	30	33	10	44	31	32	38	42	46	47	126	20	22	18	24	42	60	42	25	43	25	45	30	17	39	28	0	27	45	33	  
24	34	30	32	27	16	47	27	30	25	34	21	35	17	1	44	32	13	28	17	28	34	19	47	22	18	47	32	19	33	126	29	26	27	33	49	43	49	28	49	40	35	12	7	27	18	35	24	18	23	  
27	16	28	28	25	14	35	19	28	7	16	19	30	28	28	36	30	20	31	20	24	37	17	29	29	39	45	35	1	29	126	17	24	25	26	37	25	31	17	32	39	38	23	15	9	21	17	27	21	6	  
39	28	49	40	47	35	49	58	42	29	38	40	47	48	50	50	45	41	43	32	36	49	38	55	51	53	66	47	58	68	126	39	46	39	46	59	47	53	29	26	55	50	35	37	31	33	58	49	57	0	  
