0	37	26	8	28	12	43	26	26	33	40	17	39	16	30	43	13	30	20	21	4	38	15	54	21	37	43	36	42	52	126	25	32	23	14	41	51	37	30	35	44	39	24	36	35	22	42	29	41	47	  
11	0	21	12	22	7	21	30	14	37	24	12	19	20	26	22	17	13	15	4	8	21	10	43	25	25	38	19	44	40	126	20	21	11	18	36	54	41	1	39	27	22	7	32	38	5	46	25	43	46	  
14	34	15	12	25	10	24	23	24	31	27	15	22	13	7	24	10	16	17	7	18	24	13	46	18	24	41	22	25	39	126	23	24	21	11	38	49	41	4	32	30	25	10	13	33	8	40	6	24	29	  
20	32	30	0	20	16	47	36	30	50	44	21	31	35	37	46	32	22	24	13	24	30	19	52	35	41	47	28	55	56	126	29	30	27	33	45	63	29	33	30	36	31	16	31	47	14	34	36	54	47	  
40	45	33	41	0	19	50	16	33	36	45	24	17	38	40	33	35	49	42	40	44	16	22	61	43	44	50	55	58	59	126	32	39	30	36	54	54	56	37	57	54	58	35	44	38	41	61	39	57	60	  
28	40	14	22	21	0	31	29	14	45	28	5	27	19	21	32	16	30	23	21	32	26	3	42	24	25	31	36	39	40	126	13	20	11	17	35	53	51	18	38	35	39	24	27	37	22	46	20	38	43	  
8	27	34	16	30	20	0	19	34	41	48	25	23	9	23	1	6	28	13	29	12	22	23	51	14	40	45	20	35	55	126	22	29	31	7	34	52	24	28	25	28	47	32	26	43	20	29	22	34	40	  
24	43	19	27	26	5	36	0	19	50	33	10	32	24	25	17	21	35	28	26	28	31	8	47	29	30	36	41	44	45	126	18	25	16	22	40	58	40	23	41	40	44	29	32	42	27	45	25	43	48	  
32	51	37	40	44	44	24	43	0	65	51	28	47	33	44	25	30	52	37	44	36	46	47	65	38	48	54	44	59	63	126	36	43	34	31	58	76	48	41	49	52	62	47	50	60	44	53	43	58	64	  
20	9	21	21	18	7	28	31	21	0	9	12	28	21	21	29	23	13	24	13	17	30	10	26	22	32	38	28	29	47	126	10	17	18	19	30	18	24	10	25	32	31	16	8	2	14	29	20	28	24	  
27	24	32	34	9	18	19	25	32	45	0	23	26	16	39	20	25	21	20	25	31	25	21	30	21	43	49	35	42	58	126	1	8	29	26	41	59	43	25	44	23	43	14	15	25	21	48	38	41	31	  
23	43	9	17	16	19	26	32	9	40	23	0	31	22	16	27	19	25	26	16	27	32	22	37	27	20	26	31	34	35	126	8	15	6	20	30	48	46	13	41	30	34	19	22	32	17	49	15	33	38	  
30	28	16	24	23	2	33	31	16	19	28	7	0	21	23	34	18	32	25	23	34	28	5	44	26	27	33	38	41	42	126	15	22	13	19	37	37	43	20	40	37	41	26	27	21	24	48	22	40	43	  
34	41	29	37	21	15	31	10	29	32	41	20	23	0	35	27	31	33	29	36	38	22	18	42	5	40	46	47	26	54	126	13	20	26	23	50	50	50	33	44	35	54	26	27	34	33	42	35	25	31	  
37	57	45	45	37	31	47	26	45	48	50	36	39	16	0	43	47	39	41	30	41	38	34	58	21	56	62	45	42	70	126	29	36	42	39	62	66	66	27	60	51	48	33	43	50	31	58	51	41	47	  
7	26	33	15	29	19	39	18	33	40	47	24	31	8	22	0	5	27	12	28	11	30	22	50	13	39	44	33	34	54	126	21	28	30	6	33	51	23	27	24	41	46	31	25	42	19	28	21	33	39	  
33	24	32	21	24	18	34	13	32	35	44	23	26	3	17	30	0	22	7	26	32	25	21	45	8	34	39	28	29	49	126	16	23	29	1	28	46	50	25	22	36	44	28	23	37	14	30	16	28	34	  
11	29	21	19	22	7	38	35	21	41	35	12	22	25	28	37	22	0	15	4	15	21	10	43	30	32	38	19	46	47	126	20	21	18	23	36	54	48	25	44	27	22	7	34	38	5	52	27	45	50	  
34	33	38	14	33	24	43	22	38	44	52	29	35	12	45	39	40	36	0	27	38	34	27	54	17	49	32	42	38	64	126	25	32	35	10	21	39	43	34	31	47	45	30	39	46	28	39	44	37	43	  
7	38	17	15	18	3	34	32	17	37	31	8	18	22	24	33	19	9	11	0	11	17	6	39	27	28	34	15	42	43	126	16	17	14	20	32	50	44	21	41	23	18	3	30	34	1	49	23	41	46	  
