0	31	51	126	41	32	39	32	17	15	28	24	19	28	53	31	13	55	31	30	17	40	39	33	20	50	47	32	46	55	40	31	55	29	10	46	57	33	26	126	  
25	0	42	126	11	26	9	24	26	24	18	16	20	30	23	8	27	25	25	22	18	49	33	34	28	20	17	2	16	57	10	31	25	31	19	16	30	31	18	126	  
34	22	0	126	20	11	18	21	14	12	2	25	29	14	32	21	32	34	10	16	14	37	18	30	4	29	5	11	25	41	19	28	25	15	7	4	31	27	27	126	  
54	36	40	0	33	31	31	46	16	14	16	38	41	27	52	36	35	47	30	31	16	39	33	32	19	19	7	31	45	4	39	30	23	29	9	6	45	29	40	126	  
57	50	53	126	0	34	41	52	19	17	30	48	43	30	55	39	37	57	33	34	19	42	35	35	22	52	10	34	48	57	42	33	25	43	12	9	59	32	50	126	  
76	54	72	126	19	0	59	55	38	36	49	47	62	38	74	38	56	75	52	47	38	61	7	54	21	62	29	53	67	65	61	46	44	17	31	28	78	51	49	126	  
39	14	51	126	2	24	0	15	21	19	27	7	28	21	37	14	22	16	31	13	9	44	31	25	24	34	12	16	30	48	24	34	27	38	14	11	21	25	9	126	  
37	12	54	126	23	30	21	0	21	36	30	5	32	34	35	12	31	37	29	11	7	61	37	23	10	32	29	14	28	61	22	35	37	36	31	28	42	23	7	126	  
56	31	35	126	29	43	27	33	0	25	11	34	47	16	54	38	41	43	45	15	15	65	50	31	28	51	33	33	47	43	41	14	53	24	35	32	40	31	36	126	  
58	33	37	126	31	42	29	35	2	0	13	36	49	18	56	24	43	45	41	17	2	67	49	18	7	45	35	35	49	45	43	16	55	26	37	34	42	18	38	126	  
45	20	24	126	31	32	29	44	38	36	0	36	36	34	43	27	30	45	34	40	35	61	39	51	17	40	29	22	36	61	30	42	45	13	31	28	29	51	38	126	  
32	7	49	126	18	25	16	8	16	31	25	0	27	29	30	7	26	32	24	6	2	56	32	18	18	27	24	9	23	56	17	30	32	31	26	23	37	18	2	126	  
37	12	54	126	23	30	21	13	21	36	30	5	0	24	35	12	31	37	29	11	7	61	37	23	16	32	29	14	28	51	22	22	37	36	31	28	42	23	7	126	  
71	59	63	126	56	48	54	66	33	31	39	61	62	0	69	53	56	70	47	48	33	56	54	49	36	42	24	48	62	27	56	47	44	52	26	23	68	46	63	126	  
58	33	45	126	8	35	21	27	22	20	21	26	21	10	0	33	15	37	34	9	9	50	42	25	27	52	18	35	49	37	43	8	33	34	20	17	42	25	28	126	  
41	37	76	126	27	18	25	38	42	40	52	30	25	46	39	28	19	41	17	36	32	65	25	48	39	24	33	18	32	73	26	46	41	35	35	32	46	47	32	126	  
43	18	60	126	29	20	27	19	27	42	36	11	6	30	41	18	0	43	19	17	13	67	27	29	22	38	35	20	34	57	28	28	43	37	37	34	48	29	13	126	  
36	24	35	126	7	8	31	20	19	24	11	17	12	5	35	21	6	0	25	19	11	49	15	27	28	27	17	26	32	32	17	18	32	24	19	16	5	27	19	126	  
24	22	59	126	10	1	8	23	25	23	35	15	19	29	22	13	28	24	0	21	17	48	8	33	22	19	16	1	15	56	9	29	24	18	18	15	29	30	17	126	  
55	30	72	126	31	48	29	18	39	48	48	23	50	32	53	30	49	45	47	0	25	73	55	41	28	50	41	32	46	59	40	30	55	25	43	40	50	41	25	126	  
70	45	49	126	43	57	41	45	14	39	25	48	61	30	68	52	55	57	59	29	0	79	64	16	42	43	40	47	61	57	55	28	60	38	49	46	54	16	50	126	  
45	33	11	126	27	22	29	32	25	23	13	36	40	25	43	30	43	45	21	27	25	0	15	41	15	40	16	22	36	52	30	39	36	26	18	15	42	38	38	126	  
69	62	65	126	12	46	53	64	31	29	42	60	55	42	67	51	49	69	45	46	31	54	0	47	34	64	22	46	60	69	54	45	37	55	24	21	71	44	62	126	  
63	38	42	126	36	50	34	29	7	32	18	34	54	23	61	41	48	50	52	22	22	72	57	19	35	27	40	40	54	50	48	21	60	31	42	39	47	38	36	126	  
58	54	93	126	44	35	42	55	59	57	69	47	42	63	56	17	36	58	34	53	49	82	42	65	0	41	50	35	49	90	43	63	58	52	52	49	63	64	49	126	  
66	41	78	126	29	51	27	42	48	46	54	34	55	48	64	41	49	43	58	40	36	71	58	52	51	0	39	43	57	75	51	61	54	65	41	38	48	52	36	126	  
75	50	91	126	42	52	54	51	56	59	67	43	38	43	73	40	32	70	51	42	42	84	30	58	23	64	0	52	66	70	60	41	20	67	54	51	75	22	45	126	  
23	21	58	126	9	30	7	22	24	22	34	14	18	28	21	12	27	23	29	20	16	47	33	32	26	18	15	0	14	55	8	29	23	34	17	14	28	29	16	126	  
9	31	60	126	35	33	33	32	26	24	37	24	19	22	54	31	13	49	32	21	21	49	40	37	29	51	39	33	0	49	41	20	56	38	19	38	54	37	26	126	  
50	32	36	126	29	27	27	42	12	10	12	34	41	23	48	32	35	43	26	27	12	35	33	28	15	15	3	27	41	0	35	26	23	25	5	2	41	25	36	126	  
19	41	70	126	31	22	29	42	36	34	47	34	29	37	43	4	23	45	21	36	36	59	29	52	30	10	37	22	15	64	0	35	45	26	29	36	50	21	36	126	  
52	27	50	126	15	37	13	19	15	26	26	20	41	2	50	27	35	29	42	1	1	51	44	17	29	44	19	29	43	29	37	0	39	26	21	18	34	17	22	126	  
55	30	71	126	22	32	34	31	36	39	47	23	18	23	53	20	12	50	31	22	22	64	10	38	3	44	32	32	46	50	40	21	0	47	34	31	55	38	25	126	  
62	37	79	126	44	39	42	38	44	52	55	30	46	21	60	21	40	58	38	30	30	77	46	46	4	45	45	39	53	48	47	29	62	0	47	44	63	46	32	126	  
45	38	41	126	31	22	29	40	7	5	18	36	40	18	43	27	46	45	21	22	7	30	29	23	10	40	37	22	36	45	30	21	45	31	0	36	47	23	38	126	  
