0	27	34	22	126	126	21	25	10	16	30	126	36	5	126	27	19	5	15	18	  
74	0	53	28	126	126	78	99	6	56	64	126	110	45	126	84	53	62	78	37	  
21	21	0	26	126	126	25	46	14	20	43	126	57	9	126	31	32	9	25	24	  
46	18	25	0	126	126	50	71	22	28	36	126	82	17	126	56	25	34	50	9	  
53	42	49	54	30	126	25	78	32	49	72	28	89	58	33	31	61	38	54	33	  
47	19	26	47	126	21	51	72	25	29	69	126	83	35	126	57	58	35	51	10	  
45	17	24	29	126	126	0	70	7	27	65	126	81	33	126	6	54	33	49	8	  
126	126	126	126	126	126	126	0	126	126	126	126	11	126	126	126	126	126	126	126	  
68	40	47	22	126	126	72	93	0	50	58	126	104	39	126	78	47	56	72	31	  
126	126	126	126	126	126	126	126	126	0	126	126	126	126	126	126	126	126	126	126	  
41	13	20	41	126	126	45	66	19	23	0	126	77	29	126	51	52	29	45	4	  
25	16	23	27	20	126	45	50	22	21	44	14	61	30	5	51	33	10	26	7	  
126	126	126	126	126	126	126	126	126	126	126	126	0	126	126	126	126	126	126	126	  
52	24	31	27	126	126	56	77	5	29	63	126	88	0	126	62	52	40	56	15	  
39	11	18	39	15	126	40	64	17	21	61	25	75	27	21	46	50	27	43	2	  
69	41	48	23	126	126	73	94	1	51	59	126	105	40	126	0	48	57	73	32	  
52	24	31	52	126	126	56	77	30	34	11	126	88	40	126	62	0	40	56	15	  
15	35	42	17	126	126	36	40	25	11	34	126	51	20	126	42	23	0	16	26	  
101	27	80	55	126	126	105	126	33	83	91	126	137	72	126	111	80	89	0	64	  
37	9	16	37	126	126	41	62	15	19	59	126	73	25	126	47	48	25	41	0	  
