0	19	67	62	49	9	77	60	37	37	28	126	30	17	37	48	51	6	31	21	39	21	22	48	23	24	40	29	73	74	  
25	0	83	56	53	13	93	64	41	53	44	126	24	21	41	52	55	10	35	25	55	6	7	52	16	28	34	45	77	78	  
43	58	0	63	29	48	10	81	61	37	62	126	42	38	58	28	72	45	52	49	42	56	23	57	32	45	41	29	53	83	  
11	27	53	24	39	17	63	50	30	5	30	126	10	7	27	38	41	14	21	29	25	24	24	38	29	14	9	31	63	64	  
34	29	89	64	0	19	99	52	32	56	60	126	40	9	29	40	43	16	23	20	61	35	26	40	22	16	50	48	65	66	  
30	28	88	63	40	6	98	51	28	55	58	126	39	8	28	39	42	15	22	12	60	34	25	39	14	15	49	47	64	65	  
53	48	75	71	19	38	0	71	51	63	79	126	59	28	48	18	62	35	42	39	47	54	13	47	22	35	64	55	43	73	  
22	1	80	53	54	14	90	0	42	50	41	126	21	22	42	53	56	11	36	26	52	3	4	53	13	29	31	42	78	79	  
2	1	69	57	51	11	79	62	0	39	30	126	25	19	39	50	53	8	33	23	41	7	8	50	17	26	35	31	75	76	  
6	25	48	26	55	15	58	66	42	13	25	126	5	23	39	54	53	12	37	27	20	19	20	50	24	26	4	26	79	76	  
3	22	39	34	52	12	49	63	38	9	0	126	2	20	35	51	49	9	34	24	11	16	17	46	26	22	12	1	76	72	  
5	24	41	36	54	14	51	65	30	11	2	0	4	22	37	53	51	11	36	26	13	17	18	48	27	24	14	3	78	74	  
1	20	59	32	50	10	69	61	38	29	20	126	0	18	38	49	52	7	32	22	31	14	15	49	24	25	10	21	74	75	  
25	20	80	55	32	10	90	43	23	47	51	126	31	0	20	31	34	7	14	22	52	26	17	31	24	7	41	39	56	57	  
5	4	72	57	36	14	82	65	3	42	33	126	25	22	0	35	14	11	36	6	44	7	8	53	8	29	35	34	60	79	  
35	30	57	53	1	20	67	53	33	45	61	126	41	10	30	19	44	17	24	21	29	36	27	29	23	17	46	37	25	55	  
37	25	78	68	22	15	88	66	43	65	56	126	36	23	43	21	0	12	37	27	50	31	32	50	29	30	46	57	46	76	  
25	13	83	56	43	3	93	54	31	53	44	126	24	11	31	42	45	0	25	15	55	19	20	42	17	18	34	45	67	68	  
29	30	74	60	18	37	84	29	50	57	48	126	28	27	47	17	61	34	9	38	46	32	20	46	29	34	38	49	42	72	  
18	17	85	73	67	27	95	78	16	55	46	126	41	35	55	66	69	24	49	0	57	23	24	66	2	42	51	47	91	92	  
29	28	28	59	41	19	38	52	27	51	57	126	40	9	24	40	38	16	23	30	0	31	22	35	31	11	50	43	65	61	  
19	38	77	50	68	28	87	79	56	47	38	126	18	36	56	67	70	25	50	40	49	0	1	67	10	43	28	39	92	93	  
64	39	122	95	92	52	132	103	80	92	83	126	63	60	80	91	94	49	74	64	94	45	0	91	9	67	73	84	116	117	  
19	38	49	24	62	28	59	73	48	16	38	126	18	30	45	61	54	25	44	40	21	32	33	0	40	32	17	8	86	26	  
55	30	113	86	83	43	123	94	71	83	74	126	54	51	71	82	85	40	65	55	85	36	37	82	0	58	64	75	107	108	  
18	17	73	48	49	27	83	78	16	40	46	126	38	35	13	48	27	24	49	19	45	20	21	24	21	0	41	32	73	50	  
2	21	60	22	51	11	70	62	38	27	21	126	1	19	35	50	49	8	33	23	32	15	16	46	25	22	0	22	75	72	  
14	33	41	34	54	23	51	65	40	8	33	126	13	22	37	53	51	20	36	35	13	27	28	48	32	24	12	0	78	74	  
23	42	53	28	66	32	63	77	52	20	42	126	22	34	49	65	58	29	48	44	25	36	37	4	12	36	21	12	0	30	  
56	45	101	87	45	43	111	56	71	84	75	126	55	51	71	44	28	40	27	55	73	51	47	73	15	58	65	76	69	0	  
